service	pod	key	value
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	spans_received	38872
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	spans_flushed	38872
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	spans_sent	27925
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	batches_sent	5156
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	spans_dropped	10947
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	batches_dropped	496
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	send_deadline	0
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	send_unavailable	496
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	send_exhausted	0
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	send_canceled	0
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	send_other	0
wrk2api	wrk2api-service-vrev1-ctr-9lqsk	buffer_depth	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	spans_received	1119927
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	spans_flushed	1119927
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	spans_sent	761567
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	batches_sent	18961
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	spans_dropped	358360
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	batches_dropped	1790
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	send_deadline	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	send_unavailable	1790
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	send_exhausted	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	send_canceled	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	send_other	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-tnddf	buffer_depth	0
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	spans_received	279966
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	spans_flushed	279966
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	spans_sent	181846
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	batches_sent	4699
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	spans_dropped	98120
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	batches_dropped	490
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	send_deadline	0
