service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	spans_received	267265
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	spans_flushed	267265
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	spans_sent	267265
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	batches_sent	12815
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	spans_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	batches_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	cp_received	132222
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	lp_received	135043
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	cp_sent	132222
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	lp_sent	135043
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	cp_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	lp_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	send_deadline	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	send_unavailable	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-6rdzm	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	spans_received	9206031
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	spans_flushed	9206031
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	spans_sent	9206031
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	batches_sent	49570
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	spans_dropped	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	batches_dropped	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	cp_received	8055276
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	lp_received	1150755
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	cp_sent	8055276
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	lp_sent	1150755
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	cp_dropped	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	lp_dropped	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	send_deadline	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	send_unavailable	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	spans_received	2301492
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	spans_flushed	2301492
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	spans_sent	2301492
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	batches_sent	12393
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	spans_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	batches_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	cp_received	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	lp_received	2301492
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	cp_sent	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	lp_sent	2301492
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	cp_dropped	0
